pair,binance,bybit,bitget,mexc,bingx
PENDLEUSDT,4,,4,4,4
PEOPLEUSDT,5,5,5,5,5
PERPUSDT,4,,,4,4
PHBUSDT,4,,4,4,4
PIXELUSDT,4,4,4,4,4
POLYXUSDT,4,,4,4,4
POWRUSDT,4,,,4,4
PYTHUSDT,4,,4,4,4
QNTUSDT,2,,2,2,2
QTUMUSDT,3,3,3,3,3
RADUSDT,3,3,3,3,3
RAYUSDT,3,,,3,4
RDNTUSDT,4,,4,4,4
REEFUSDT,6,6,6,6,6
RENUSDT,5,4,5,5,5
RIFUSDT,5,,,5,4
RLCUSDT,4,,4,4,3
RNDRUSDT,4,3,4,4,3
ROSEUSDT,5,4,5,5,5
RSRUSDT,6,6,6,6,6
RUNEUSDT,3,3,3,3,3
RVNUSDT,5,5,5,5,5
SANDUSDT,4,4,4,4,4
SCUSDT,6,5,,6,6
SEIUSDT,4,,5,4,4
SFPUSDT,4,4,4,4,4
SKLUSDT,5,5,5,5,5
SLPUSDT,6,5,6,6,6
SNTUSDT,5,,,5,5
SNXUSDT,3,3,3,3,3
SOLUSDT,3,3,4,3,2
SPELLUSDT,7,6,7,7,7
SRMUSDT,3,,,4,
SSVUSDT,2,,2,2,2
STEEMUSDT,4,,,4,4
STGUSDT,4,4,4,4,4
STMXUSDT,5,6,5,5,6
STORJUSDT,4,4,4,4,4
STPTUSDT,5,,,5,5
STRAXUSDT,4,,,3,4
STXUSDT,4,3,4,4,4
SUIUSDT,4,,5,4,3
SUPERUSDT,4,,,4,4
SUSHIUSDT,4,3,4,4,4
SXPUSDT,4,4,4,4,4
TUSDT,5,,,5,5
THETAUSDT,4,3,4,4,4
TIAUSDT,4,,4,3,3
TLMUSDT,5,6,5,5,5
TOKENUSDT,5,,,5,5
TOMOUSDT,4,4,,,
TRBUSDT,3,3,3,3,2
TRUUSDT,5,,5,5,5
TRXUSDT,5,5,5,5,5
TWTUSDT,4,4,4,4,3
UMAUSDT,3,,3,3,3
UNFIUSDT,3,4,3,3,3
UNIUSDT,3,3,4,3,3
USDCUSDT,5,4,4,5,4
USTCUSDT,5,,,5,5
USTCUSDT,5,,,5,5
WAVESUSDT,4,3,3,4,3
WAXPUSDT,5,,5,5,5
WIFUSDT,4,,4,4,4
WLDUSDT,4,3,4,4,3
WOOUSDT,5,4,5,5,4
XEMUSDT,4,4,,4,5
XLMUSDT,5,5,5,5,5
XMRUSDT,2,2,2,2,
XRPUSDT,4,4,5,4,4
XTZUSDT,3,3,3,3,4
XVGUSDT,6,,6,6,6
XVSUSDT,3,,,3,3
YFIUSDT,1,1,,1,2
YGGUSDT,4,3,4,4,4
ZECUSDT,2,2,2,2,
ZENUSDT,3,2,3,3,
ZETAUSDT,4,4,4,4,5
ZILUSDT,5,5,5,5,5
ZRXUSDT,4,4,4,4,4
